Region,State/Division,Branch Name,Address in Myanmar,Address in English,Phone number,Latitude,Longitude,Locatin on Google Map
Region 2,Yangon Division,Hlegu (+Dar Pein),အမှတ်(၁၁၄၆/က)၊သီတာအေး(၅)လမ်း၊ ပန်းဘဲတန်းကွင်း၊ အောင်မင်္ဂလာရပ်ကွက်၊ လှည်းကူးမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး။,"No.(1146/A),Thida Aye Street, Aung Mingalar Ward, Hlegu Township, Yangon, Myanmar.",9970716194,17.101389,96.228611,https://goo.gl/maps/Fj2qLwGuGF8yU34w8
, ,Hmawbi,အမှတ်(၃၇၁)၊စိတ္တသုခလမ်း၊တပ်ကြီးကုန်းရပ်ကွက်၊မှော်ဘီမြို့၊ရန်ကုန်တိုင်းဒေသကြီး။,"No(371), Seikta Thukha Street, Tatgyikone Ward, Hmawbi Township, Yangon region",9965433804,17.101944,96.045556,https://goo.gl/maps/kDFqP2ZHV1DRVSaF7
,  ,Kawhmu,အမှတ်(၁ဝ၁)၊ ဗိုလ်ချုပ်လမ်း၊ တောင်ပိုင်းရပ်ကွက်၊ ကော့မှူးမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး။,"No (101), Bogyoke Road, South Ward, Kawhmu Township, Yangon Division.",9977751140,16.54,96.063056,https://goo.gl/maps/qHkchtdrWpJ4SJec8
, ,Kayan,အမှတ်(၂၃)၊ ကြံ့ခိုင်ရေးလမ်း၊ မြို့သစ်အရှေ့ရပ်ကွက်၊ သန်လျင်မြို့၊ ရန်ကုန်တိုင်းဒေသကြီး။,"No(23), Kyantkhaingyay street, Myotthit East Ward, Thanlyin Township, Yangon, Myanmar.",9977227181,16.762389,96.247056,https://goo.gl/maps/YSkE45TMqUcRPiPR9
, ,Kyauktan,အမှတ်(၂၇၆)၊ အောင်မင်္ဂလာ(၆)လမ်း၊ ရွှေကုန်းရပ်ကွက်၊ ကျောက်တန်းမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး ။,"No.(276), Aung Mingalar 6th street, Shwe Kone Ward, Kyauktan Township, Yangon Division",9965433875,16.638641,96.328112,https://goo.gl/maps/3E9YoxPCpe8gVi348
, ,Sa Bu Taung,အမှတ် (၂၁၀)၊ ရဲညွန့်လမ်း၊ စာဘူးတောင်း၊ လှည်းကူးမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး။,"No.(210), Ye Nyunt Street, Sar Bue Taung, Hlegu Township,Yangon,Myanmar",9977227171,17.210611,96.227389,https://goo.gl/maps/XiFQQY7eydoDtnENA
, ,Thanlyin,အမှတ်(၁၆၈)၊ ဗိုလ်ချုပ်နေဝင်းလမ်း၊ ပဲခူးစုရပ်ကွက်၊ သန်လျင်မြို့၊ ရန်ကုန်တိုင်းဒေသကြီး။,"No. (168), Bogyoke Naywin Street, Bagosu ward ,Thanlyin Township",9977227181,16.7625238,96.2470191,"https://www.google.com/maps/place/16%C2%B045'44.8%22N+96%C2%B014'49.4%22E/@16.7625238,96.2470191,21z/data=!4m4!3m3!8m2!3d16.762437!4d96.247053?entry=ttu"
, ,Thein Phyu,အမှတ် ၇၂ ၊ ပထမထပ်၊ ဦးဝိစာရလမ်း၊ ကမာရွတ်မြို့နယ်၊ ရန်ကုန်မြို့,"No.72, 1st floor, U Wisara road, Kamayut Township, Yangon, Myanmar",9969907131,16.807333,96.140528,https://goo.gl/maps/kWNTxevMpbiBf73j6
, ,Gwa,ခရေလမ်း၊ မြို့မရပ်ကွက်၊ ဂွမြို့၊ ရခိုင်ပြည်နယ်။,"Kha Yay Street, Myo Ma Ward, Gwaa Township, Rakhine State.",9977630620,17.597778,94.580833,https://goo.gl/maps/bK329ZWkuwwinmqe6
Region 3,Shan State,Aungpan ,ပစ္ဆိမာရုံလမ်း၊ ညောင်ပင်ထောင်ရပ်ကွက်၊ အောင်ပန်းမြို့၊ ရှမ်းပြည်နယ်။,"Pissimaryone Road, Nyaung Pin Htaung Ward, Aungpan Township, Shan State, Myanmar.",9965433062,20.649444,96.65,https://maps.app.goo.gl/ggmMAjwrXVNQcYcCA
, ,Kengtung,အမှတ်(၁၇)၊ ကျိုင်းတုံ-တာချီလိတ်လမ်းမကြီး၊ စုမွန်ရပ်၊ အမှတ်(၁)ရပ်ကွက်၊ ကျိုင်းတုံမြို့၊ ရှမ်းပြည်နယ်။,"No.(17), Kyine Tone - Tar Chi Late Road, Su Mon Yat, No.(1) Ward, Kengtung Township, Shan State",9977639370,21.287222,99.606111,https://goo.gl/maps/rd91mpxpdY9cwL3W9
, ,Lawksawk,အကွက်အမှတ်(၂၁)၊ နယ်မြေ(၂)၊ ဥတ္တံတားရပ်ကွက်၊ ရပ်စောက်မြို့၊ ရှမ်းပြည်နယ်။,"No.(23/C), Daw Na Street, Oaktadar Ward, Lawksawk Township, Shan State, Myanmar",9969998038,21.244333,96.872833,https://maps.app.goo.gl/VmaBErvEadFd413t6 
, ,Loilen,အမှတ်(တ/၁၇-ခ)၊ ဘုရားကြီးလမ်း၊ ရပ်ကွက်(၃)၊ နယ်မြေ(၈)၊ လွိုင်လင်မြို့၊ ရှမ်းပြည်နယ်,"No(Ta/17), Phayakyi Street, Quarter (3), Area (8), Loilen Township, Shan State",9977408870,20.9242608,97.5615264,https://goo.gl/maps/1Ehdog48rScLmUaZA
, ,Kyaukme,အိမ်အမှတ်(၇/၂၀၉) ၊ ဥတ္တရလမ်း၊ အမှတ်(၇)ရပ်ကွက်၊ ကျောက်မဲမြို့၊ရှမ်းပြည်နယ်,"No. (7/209), Uttara street, Ward (7), Kyaukme township, Shan State.",09 940 844 429,22.54542552,97.03287916,https://goo.gl/maps/6m3bodYjM4h1Wmpm7
, ,Pindaya,အမှတ်(ဈ/၂၁၇)၊ မဟာရန်အောင်ကျောင်းလမ်း၊ စျေးတန်းရပ်ကွက်၊ ပင်းတယမြို့၊ ရှမ်းပြည်နယ်။,"No. (Za/217), Mahar Yan Aung Kyaung Street, Zay Tan Ward, Pindaya, Shan State.",9977460640,20.943889,96.664167,https://goo.gl/maps/8srKvw9GWw12bBFS8
, ,Nawngkio,အမှတ်(၆၀)၊ဦးကျော်ရေထွက်လမ်း၊ နယ်မြေ-၃၊ တောင်ရပ်ကွက်၊ နောင်ချိုမြို့၊ ရှမ်းပြည်နယ်,"No (60), U Kyaw Yay Htwet Street, Area (3), South Ward, Nawngkio, Shan State.",9940935064,22.323643,96.801391,https://maps.app.goo.gl/1oEMFRWLeh8zbL1h7
, ,Nansang,အမှတ်(၁၃၇)၊ သီတာလမ်း၊ ရပ်ကွက်(၃)၊ နမ့်စန်မြို့၊ ရှမ်းပြည်နယ်တောင်ပိုင်း။,"No.(137), Thida Street, No.(3)Ward, Nansang, Southern Shan State, Myanmar.",9977639390,20.890167,97.717944,https://goo.gl/maps/a3XG6K5bX7KGJJSG6
, ,Pinlaung,အမှတ်(ရ/၃၀၅)၊ အောင်သုခလမ်း၊ အရှေ့ရပ်ကွက်၊ ပင်လောင်းမြို့၊ ရှမ်းပြည်နယ်။,"No.(Ya/305), Aung Thu Kha Street, East Ward, Pinlaung, Shan State.",9977408030,20.123889,96.783889,https://maps.app.goo.gl/fAe68Gg6onzjYiUM9
, ,Nyaung Shwe,အိမ်အမှတ် (၆၆)၊ ကျုံးရိုးလမ်း၊ ကံသာ (၄)ရပ်ကွက်၊ ညောင်ရွှေမြို့၊ ရှမ်းပြည်နယ်။,"Kyone Yoe Street, Kanthar (4) Ward, Nyaungshwe Township, Shan State.",9977460660,20.665139,96.929306,https://goo.gl/maps/J71oz2JYZfag7DeE8
, ,Taunggyi,အိမ်အမှတ်(၂၀၉)၊ ခြင်္သေ့လမ်း၊ ညောင်ရွှေဟော်ကုန်းရပ်ကွက်၊ တောင်ကြီးမြို့၊ ရှမ်းပြည်နယ်။,"No.(209), Chin Thae Street, Nyaung Shwe Haw Kone Ward, Taunggyi, Shan State, Myanmar.",9969997055,20.789444,97.037222,https://maps.app.goo.gl/FGq7PPQhyQMhbTDc6
,Magway Division,Aunglan,၇လမ်းနှင့်၈လမ်းကြား၊ ပြည်လမ်း၊ ကန်ကြီးရပ်ကွက်၊ အောင်လံမြို့၊ မကွေးတိုင်း‌ဒေသကြီး ,"No.(207), Lanmadaw Street, Between 16 x 17 Street, Sanchaung Ward, Aunglan, Magway Division.                                                                                                                            ",9977408110,19.366278,95.213167,https://goo.gl/maps/uXMw45fprUD4ntNF7
, ,Magway,မကွေးတိုင်းဒေသကြီး၊မကွေးမြို့၊ အောင်မင်္ဂလာအုပ်စု၊ ရန်မျိုးနိုင်ရပ်ကွက် ရန်မျိုးနိုင် (၄) လမ်း၊ အမှတ် (၇၉) ,"No.(325), Thu Khi Tar  Street, Yan Myo Lone Ward, Magway Town, Magway Division, Myanmar.",9969998120,20.14673075,94.94707035,https://goo.gl/maps/Kfmsvsp9ESL3cH2m8
, ,Salin,အမှတ်( )၊ စလင်းဆိပ်ဖြူလမ်း၊ မြေမိကုန်းရပ်ကွက်၊ စလင်းမြို့နယ်၊ မကွေးတိုင်း။,"No.( ), Salin Seik Phyu Road, Myay Mi Kone Township, Salin Town, Magway Division, Myanmar",9977408944,20.591472,94.669917,https://goo.gl/maps/m7G2PY58XhkRt3ps7
Region 4, ,Taungdwingyi,အမှတ်(၃)၊ ဘုရင့်နောင်(၁)လမ်း၊ ရွှေကြာအင်း(၁)ရပ်ကွက်၊ တောင်တွင်းကြီးမြို့၊ မကွေးတိုင်းဒေသကြီး။,"No.(3), Ba Yint Naung Street, Shwe Kyar Inn (1) Ward, Taungdwingyi, Magway Division, Myanmar.",9977460202,19.999722,95.549167,https://goo.gl/maps/SXyG7sgfPdEvSkMJA
,Sagaing Division,Kale,အမှတ်(၄/၃ဝ)၊ ဗန္ဓုလလမ်း၊ တောင်ဇလပ်ရပ်ကွက်၊ ကလေးမြို့နယ်၊ စစ်ကိုင်းတိုင်းဒေသကြီး။,"No.(4/30), Bandula Street, Taung Za Latt Ward, Kale Township, Sagaing Division.",9977408850,23.193806,94.022472,https://goo.gl/maps/QTtY9ydJ74djL2J47
, ,Kanbalu,အိမ်အမှတ်(၆ဝ၈)၊ စံပယ်လမ်း၊ အမှတ်(၂)ရပ်ကွက်၊ ကန့်ဘလူမြို့၊ စစ်ကိုင်းတိုင်းဒေသကြီး။,"No.(608), Sabel Street, No.(2) Ward, Kanbalu, Sagaing Division, Myanmar.",9977408040,23.206111,95.519722,https://goo.gl/maps/KkcTcu1Y2Sw4jM5Y7
, ,Monywa,အမှတ်(၈/၄၅)၊ အောင်သပြေလမ်းမကြီး၊ လမ်းသွယ်(၉နှင့်၁ဝ)ကြား၊ မြဝတီရပ်ကွက်၊ မုံရွာမြို့နယ်၊ စစ်ကိုင်းတိုင်းဒေသကြီး။,"No.(8/45), Aung Tha Pyay Road, Between (9x10) Lane, Myawaddy Ward, Monywa Township, Sagaing Division, Myanmar",9969997118,22.117778,95.155028,https://goo.gl/maps/mz3BsVbbrUDQL4W38
, ,Sagaing,အမှတ်(၉၄၃)၊ နယ်မြေ(၁၃)၊ ပန်းပဲတန်းရပ်ကွက်၊ စစ်ကိုင်းမြို့၊ စစ်ကိုင်းတိုင်းဒေသကြီး။,"No.(943), Area (13), Pabedan Ward, Sagaing Town, Sagaing Division, Myanmar",9977631033,21.892556,95.973528,https://goo.gl/maps/CcJUBA6jm62LqbMm8
,Kachin State,Mohnyin,အမှတ်(နမ/၈၉)၊ ရတနာသိင်္ဂီလမ်း၊ နတ်ကြီးကုန်းရပ်ကွက်၊ ဗမာပိုင်း၊ မိုးညှင်းမြို့၊ ကချင်ပြည်နယ်။,"No.(NaMa/89), Yadanar Theingi Street, Nat Kyi Kone Ward, Burma Pine, Monhyin Town, Kachin State, Myanmar.",9977630699,24.77325,96.363667,https://goo.gl/maps/8ra4E1GAT6C6yEFBA
, ,Myitkyina,မြေမြင့်ရပ်ကွက်၊ စွယ်တော်လမ်း၊ အိမ်အမှတ်(၆)၊ မြစ်ကြီးနားမြို့၊ ကချင်ပြည်နယ်။,"No.(165), Shwe Taung Street, Myothit Ward, Myitkyina, Kachin State.",9977408130,25.383889,97.394444,https://goo.gl/maps/uQDnJZLFEiDD7LsP6
,,Bhamo,အမှတ်(သစ/၂၃၁)၊ ရုံးကြီးလမ်း၊ အရှေ့သာစည်ရပ်ကွက်၊ ဗန်းမော်မြို့ ၊ ကချင်ပြည်နယ်။,"No. (Tha Sa/231), Yone Gyi Street, East Thar Si ward, Bhamo township, Kachin state.",9969907115,24.258719,97.233421,https://maps.app.goo.gl/1wV57A5hA654vi6EA
Region 6,Mandalay Division,Kyaukpadaung,သစ္စာလမ်းနှင့်ပဒုမ္မာလမ်းထောင့်၊ မြို့မကွက်သစ်ရပ်ကွက်၊ ကျောက်ပန်းတောင်းမြို့၊ မန္တလေးတိုင်းဒေသကြီး။,"Corner of Thitsar Street & Padonmar Street, Myoma Kwat Thit Ward, Kyaukpadaung Town, Mandalay Division, Myanmar",9977460303,20.839167,95.126667,https://goo.gl/maps/5mFH8LWmSC1X6hj27
, ,Madaya,အမှတ်(ဇ/၁၄၂-၁၄၃)၊ (၁၅)လမ်း၊ (၂) ရပ်ကွက်၊ မတ္တရာမြို့၊ မန္တလေးတိုင်းဒေသကြီး။,"No.(Za/142-143), (2) Ward, 15th Street, Madaya Town, Mandalay Division, Myanmar.",9977751150,22.216667,96.113056,https://goo.gl/maps/QWVm93hzNYuQhAxd8
, ,Mahlaing,အိမ်အမှတ်(၇၂)၊ မိတ္ထီလာ-မြင်းခြံလမ်းမကြီး ၊ အမှတ်(၂)ရပ်ကွက်၊ မလှိုင်မြို့ ၊မန္တလေးတိုင်းဒေသကြီး။,"No. (72), Meiktila-Myingyan road, (2) ward, Mahlaing township, Mandalay Region.",9977631030,21°05'55.3,95°38'59.5,"https://www.google.com/maps/place/21%C2%B005'55.3%22N+95%C2%B038'59.5%22E/@21.0986844,95.6472762,17z/data=!3m1!4b1!4m4!3m3!8m2!3d21.0986844!4d95.6498511?entry=ttu"
, ,Meiktila,အိမ်အမှတ်(၅/၃၁၂)၊ ခွာညိုလမ်း၊ နန်းတော်ကုန်းရပ်ကွက်၊ မိတ္ထီလာမြို့၊ မန္တလေးတိုင်း။,"No.(5/312), Kwa Nyo Street, Nan Taw Kone Ward, Meikhtila Town, Mandalay Township, Myanmar.",9977630670,20.881111,95.866694,https://goo.gl/maps/ZkwH1rjTaJSXqskN6
, ,Mogoke,အိမ်အမှတ်(၁/၁၂)၊ မင်းတံတားရပ်ကွက်၊မိုးကုတ်မြို့ ၊ မန္တလေးတိုင်းဒေသကြီး။,"No. (1/12), Min Tadar ward,  Mogoke township, Mandalay Region,Myanmar.",9977631050,22.909165,96.487177,https://www.bing.com/maps?rtp=adr.%7Epos.22.90917792357338_96.48715798391582&cp=22.909165%7E96.487177&lvl=14.5
, ,Myingyan,အမှတ်(၆/၆၅)၊ (၁၅) လမ်း (အောင်တော်မူဘုရားလမ်း)၊ (၆)ရပ်ကွက်၊ မြင်းခြံမြို့နယ်၊ မန္တလေးတိုင်းဒေသကြီး။,"No.(6/65), (15) Street (Aung Taw Mu Offset Street), (6) Ward, Myingyan Township, Mandalay Division, Mandalay",9977408070,21.460833,95.387222,https://goo.gl/maps/JY4LLb3je2XG4dWK6
, ,Myittha, အိမ်အမှတ်(၂၃၄)၊ ရွှေသူဌေးရပ်ကွက်၊ မြင်းခြံ-မန္တလေးလမ်းမကြီး၊ မြစ်သားမြို့ ၊ မန္တလေးတိုင်းဒေသကြီး။,"No. (234), Myingyan-Mandalay road, Shwe Thu Htay ward, Myitta township, Mandalay region.",9969998177,21.4315238,96.1340543,"https://www.google.com/maps/@21.4315238,96.1340543,165m/data=!3m2!1e3!4b1!4m2!7m1!2e1?hl=en&entry=ttu"
, ,Pyawbwe,အိမ်နံပါတ်(၂၁)၊ အကွက်အမှတ်(၃)၊ ပုဂံကုန်းရပ်၊ မာမကလမ်း၊ နယ်မြေ(၁၀)၊ ရှမ်းပွဲရပ်ကွက်၊ ပျော်ဘွယ်မြို့၊ မန္တလေးတိုင်းဒေသကြီး။,"No.(21), Field No.(3), Bagan Kone Place, Marmaka Street, Area (10), Shan Pwe Ward, Pyawbwe Town, Mandalay Division, Myanmar.",9969998166,20.592778,96.060278,https://goo.gl/maps/1rvbdUx4PvdbicNe6
, ,Nyaung-U,အမှတ်(၁၄)၊ ဇေယျဝတီ စာသင်တိုက်အနီး ၊ ကံကော်လမ်း၊ ဇေယျဝတီ ရပ်ကွက်၊ ညောင်ဦးမြို့၊ မန္တလေးတိုင်း။,"Near Ayeyarwaddy Monastery, Kantkaw Street, Zaya Wadi Township, Nyaung-U, Mandalay Division, Myanmar",9969998013,21.18789,94.911231,https://goo.gl/maps/mXDz1Qu6FB6DYp2L9
, ,Wundwin,အမှတ် (၃)၊ သဲတော ၀မ်းတွင်းလမ်းမကြီးဘေး၊ မြို့မ ရပ်ကွက်၊ ၀မ်းတွင်းမြို့၊ မန္တလေးတိုင်းဒေသကြီး။,"No(3), Beside Thel Taw-Wundwin Road, Myo Ma Ward, Wundwin, Mandalay Division.",9969998110,21.0947665,96.031873,https://goo.gl/maps/p892dK6nbyEPcjJA6
, ,Yamethin,လမ်းသွယ်(၅)၊ အမှတ်(ခ/၁၇ဝ)၊ စည်ပင်သာယာလမ်း၊ ရွှေစည်ခုံရပ်ကွက်၊ ရမည်းသင်းမြို့၊ မန္တလေးတိုင်းဒေသကြီး။,"(5) Lane, No.(Kha/170), Sipintharyar Street, Shwe Si Kon Ward, Yamethin Town, Mandalay Division, Myanmar.",9977630690,20.437194,96.140667,https://goo.gl/maps/JotUqkY9YJ6zCCAU7
, ,Pyinoolwin,အမှတ်(၄၆)၊ စန္ဒာလမ်း၊ အမှတ်(၅)ရပ်ကွက်၊ ပြင်ဦးလွင်မြို့နယ်၊ မန္တလေးတိုင်းဒေသကြီး။,"No.(46), Sandar Street, YaKaKa(5), Pyin Oo Lwin Township, Mandalay Division, Myanmar",9977408090,22.01549,96.464053,https://goo.gl/maps/TyYHn5yY8oJiPPNs8
Regoin 7,Mon State,Bilin,အမှတ်(၁၀)၊ အရှေ့မဟာဘောဂလမ်း ၊ ဆရာစံရပ်ကွက် ၊ ဘီးလင်းမြို့နယ်၊ မွန်ပြည်နယ်။,"No (10), East Mahabawga street, Sayar san ward, Bilin township, Mon State,Myanmar",9969997060,17.226078,97.2403968,"https://www.google.com/maps/place/17.226240,+97.240318/@17.226078,97.2403968,19z/data=!3m1!1e3?force=pwa&source=mlpwa"
, ,Chaungzon,အမှတ် (၁၆)၊ တိုးချဲ့ရပ်ကွက် (၆)၊ ချောင်းဆုံမြို့၊ မွန်ပြည်နယ်။  ,"Mon State, Chaung Zone Township, Extension Ward (6), No. (16)",9969996884,16°21'06.2,97°33'00.7,https://maps.app.goo.gl/gdTrCP3Wk9usk2Km8
, ,Kyaikto,အမှတ်(၁၇၇)၊ သုခလမ်း၊ ကံ့ကော်ရပ်ကွက်၊ ကျိုက်ထိုမြို့၊ မွန်ပြည်နယ်။,"No.(177), Thu Kha Street, Kant Kaw Ward, Kyite Hto, Mon State, Myanmar",9969907117,17.30812611,97.01275915,https://maps.app.goo.gl/1xyqpnR5iTo5Dwyq6
, ,Thaton,အမှတ်(၅၆၂)၊ ရွှေချောင်းလမ်း၊ သိမ်ကုန်းရပ်ကွက်၊ သထုံမြို့၊ မွန်ပြည်နယ်။,"No(562), Shwe Chaung Street, Thein Kone Ward, Thaton, Mon State.",9969907104,16°55'10.6,97°22'30.1,https://maps.app.goo.gl/aQPEj6dHn5LBWEb48
, ,Ye,အမှတ်(100)၊ ဗိုလ်ချုပ်လမ်း၊ရန်ကြီးအောင်ရပ်ကွက်၊ရေးမြို့၊မွန်ပြည်နယ်။,"No (100), Bogyoke Road, Yan Gyi Aung Ward, Yay, Mon State, Myanmar.",9969998233,15.245861,97.8546205,https://goo.gl/maps/iKvxgtvb2Y7UqbAm8
